"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_12914688_101773312"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"86491136"	"0"	"null"	"unknown"	"r---------"	"/img_case3.E01/vol_vol2/$Unalloc/Unalloc_8_12914688_101773312"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_case3.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_101777408_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_case3.E01/vol_vol3/Unalloc_7_101777408_104857600"
"$AttrDef"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"3104"	"6"	"7e12706a3789de8fa29bc467dd4d46e0"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"992"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"8192"	"7"	"13c55fcd33c4973f175b0f798b68235a"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"100"	"32"	"12958517fce81396ceda4e88312d4132"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"65536"	"33"	"e16cf671bfa6bb04edc3eabd4b5fe8f3"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2097152"	"34"	"9ed8ac2f56f5af8710327ef0fee90df8"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2097152"	"35"	"b2d1236c286a3c0704224fe4105eca49"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$LogFile"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2097152"	"2"	"dd2e5d1dd84f60608f2e9eea9ab14c13"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"262144"	"0"	"19310e114e550e2fa19b7f939f575eea"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"4096"	"1"	"a441208feaeca6f0a03a2c9c5294ba4a"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$MFTMirr"
